postcode,num_streets,RenewalsOrAcq,collection_amount,donation_amount,total_received,age,weekends,profitable
2033,1,Renewals,94,0,94,91,4,1
2033,1,Renewals,86,0,86,66,4,1
2033,1,Renewals,75,0,75,,4,0
2033,1,Renewals,50,0,50,78,4,0
2034,1,Renewals,450,0,450,,4,1
2034,1,Renewals,320,0,320,66,4,1
2034,1,Acq,300,0,300,,4,1
2034,1,Renewals,167,0,167,63,4,1
2034,9,Acq,160,0,160,74,4,1
2034,1,Renewals,150,0,150,,4,1
2034,2,Acq,135,0,135,78,4,1
2034,1,Acq,114.1,0,114.1,,4,1
2034,1,Renewals,85,0,85,,4,1
2034,1,Acq,75,0,75,,4,0
2034,1,Acq,69.65,0,69.65,78,4,0
2034,1,Acq,69.25,0,69.25,,4,0
2034,1,Acq,59,0,59,,4,0
2034,1,Acq,0,50,50,,4,0
2034,1,Acq,0,50,50,,4,0
2034,1,Renewals,26,0,26,72,4,0
2034,1,Acq,25,0,25,74,4,0
2034,1,Renewals,25,0,25,70,4,0
2034,1,Acq,20,0,20,,4,0
2034,1,Acq,20,0,20,53,4,0
2034,1,Acq,15.5,0,15.5,91,4,0
2034,9,Acq,0,15,15,,4,0
2035,2,Renewals,209.75,0,209.75,87,4,1
2035,1,Renewals,165.5,0,165.5,68,4,1
2035,1,Renewals,156,0,156,63,4,1
2035,1,Acq,155,0,155,,4,1
2035,1,Acq,155,0,155,,4,1
2035,1,Acq,112,0,112,25,4,1
2035,1,Acq,112,0,112,,4,1
2035,1,Renewals,110,0,110,,4,1
2035,9,Acq,57,50,107,,4,1
2035,1,Renewals,101,0,101,,4,1
2035,1,Acq,100,0,100,,4,1
2035,1,Acq,98.2,0,98.2,71,4,1
2035,9,Acq,82,0,82,,4,1
2035,1,Renewals,60,0,60,77,4,0
2035,9,Acq,58.5,0,58.5,,4,0
2035,1,Renewals,53,0,53,,4,0
2035,1,Renewals,52,0,52,,4,0
2035,1,Acq,0,50,50,,4,0
2035,9,Acq,50,0,50,,4,0
2035,1,Renewals,14,30,44,,4,0
2035,1,Acq,38,0,38,,4,0
2035,9,Acq,28,0,28,62,4,0
2035,3,Acq,0,20,20,23,4,0
2035,9,Acq,20,0,20,,4,0
2035,1,Renewals,20,0,20,61,4,0
2035,1,Renewals,15,0,15,,4,0
2035,9,Acq,10,0,10,,4,0
2035,9,Acq,10,0,10,,4,0
2035,1,Renewals,10,0,10,,4,0
2036,1,Acq,227.3,0,227.3,,4,1
2036,9,Acq,170,0,170,71,4,1
2036,1,Renewals,128,0,128,68,4,1
2036,9,Acq,116,0,116,,4,1
2036,1,Acq,110,0,110,53,4,1
2036,1,Acq,100,0,100,54,4,1
2036,9,Acq,100,0,100,50,4,1
2036,1,Acq,84,0,84,,4,1
2036,1,Renewals,84,0,84,69,4,1
2036,9,Acq,80,0,80,81,4,1
2036,9,Acq,73,0,73,,4,0
2036,1,Acq,70,0,70,,4,0
2036,9,Acq,70,0,70,,4,0
2036,1,Renewals,68.3,0,68.3,,4,0
2036,1,Acq,66.85,0,66.85,,4,0
2036,9,Acq,60,0,60,64,4,0
2036,1,Renewals,60,0,60,,4,0
2036,9,Acq,55.6,0,55.6,,4,0
2036,2,Acq,55,0,55,,4,0
2036,1,Acq,50,0,50,,4,0
2036,9,Acq,47,0,47,,4,0
2036,1,Acq,46,0,46,21,4,0
2036,9,Acq,42,0,42,,4,0
2036,9,Acq,40,0,40,50,4,0
2036,1,Acq,40,0,40,73,4,0
2036,9,Acq,40,0,40,65,4,0
2036,9,Acq,35.7,0,35.7,55,4,0
2036,9,Acq,0,25,25,,4,0
2036,1,Renewals,25,0,25,,4,0
2036,1,Acq,0,20,20,49,4,0
2036,9,Acq,2,10,12,,4,0
2037,9,Acq,1250,0,1250,64,4,1
2037,1,Acq,400,0,400,64,4,1
2037,1,Renewals,304,0,304,,4,1
2037,1,Renewals,200.8,0,200.8,,4,1
2037,10,Acq,180.6,0,180.6,,4,1
2037,9,Renewals,147,0,147,56,4,1
2037,1,Acq,120,0,120,,4,1
2037,1,Acq,103,0,103,,4,1
2037,1,Renewals,102,0,102,66,4,1
2037,1,Acq,0,100,100,,4,1
2037,1,Renewals,0,60,60,,4,0
2037,1,Renewals,55,0,55,75,4,0
2037,1,Renewals,32,0,32,,4,0
2037,1,Acq,14,0,14,,4,0
2038,1,Acq,145,0,145,67,4,1
2038,1,Acq,134,0,134,,4,1
2038,1,Renewals,110,0,110,61,4,1
2038,2,Acq,108,0,108,87,4,1
2038,1,Acq,100,0,100,,4,1
2038,1,Renewals,70,0,70,72,4,0
2038,1,Acq,50,0,50,50,4,0
2038,1,Acq,27,20,47,41,4,0
2038,1,Acq,0,30,30,66,4,0
2039,9,Acq,253,0,253,53,4,1
2039,1,Renewals,247.9,0,247.9,75,4,1
2039,9,Acq,100,0,100,75,4,1
2039,10,Acq,90.5,0,90.5,66,4,1
2039,10,Acq,45,0,45,,4,0
2039,2,Renewals,40,0,40,60,4,0
2040,2,Renewals,292,200,492,57,4,1
2040,9,Acq,0,200,200,,4,1
2040,1,Acq,0,200,200,54,4,1
2040,2,Renewals,162,0,162,72,4,1
2040,1,Acq,140,0,140,43,4,1
2040,1,Renewals,122,0,122,70,4,1
2040,1,Renewals,100,0,100,,4,1
2040,9,Acq,40,56,96,,4,1
2040,1,Renewals,80,0,80,55,4,1
2040,1,Acq,60,0,60,68,4,0
2040,1,Acq,53,0,53,,4,0
2040,9,Acq,46.5,0,46.5,57,4,0
2040,1,Acq,44,0,44,,4,0
2040,9,Acq,36,0,36,,4,0
2040,1,Renewals,20,0,20,70,4,0
