postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll
4515,5,2.80,0.40,210.00,50.00,260.00,42.00,10.00,52.00,63.00,2,0.20,5
4516,8,3.13,0.63,337.95,35.00,372.95,42.24,4.38,46.62,58.83,2,0.25,8
4517,2,3.50,1.00,211.85,0.00,211.85,105.93,0.00,105.93,79.00,2,1.00,2
4518,16,3.19,0.56,1119.35,10.00,1129.35,69.96,0.63,70.58,64.36,2,0.38,16
4519,30,3.10,0.57,1822.50,20.00,1842.50,60.75,0.67,61.42,58.73,2,0.27,30
4520,41,3.24,0.73,2740.90,70.00,2810.90,66.85,1.71,68.56,59.21,2,0.32,41
4521,12,3.25,0.75,1234.25,10.00,1244.25,102.85,0.83,103.69,52.00,2,0.50,12
4550,11,3.18,0.91,458.45,50.00,508.45,41.68,4.55,46.22,54.88,2,0.18,11
4551,158,3.05,0.62,10667.75,345.00,11012.75,67.52,2.18,69.70,61.88,2,0.31,158
4552,38,2.87,0.89,2616.35,30.00,2646.35,68.85,0.79,69.64,65.48,2,0.42,38
4553,12,3.00,0.58,640.90,120.00,760.90,53.41,10.00,63.41,61.10,2,0.25,12
4554,4,2.75,0.75,273.15,100.00,373.15,68.29,25.00,93.29,51.33,2,0.75,4
4555,27,2.70,0.70,1482.00,15.00,1497.00,54.89,0.56,55.44,57.65,2,0.19,27
4556,147,3.07,0.67,9410.00,495.25,9905.25,64.01,3.37,67.38,61.36,2,0.32,147
4557,39,2.92,0.77,2439.95,56.00,2495.95,62.56,1.44,64.00,62.86,2,0.31,39
4558,49,3.04,0.61,3081.25,95.00,3176.25,62.88,1.94,64.82,63.32,2,0.29,49
4559,20,2.85,0.70,1159.50,20.00,1179.50,57.98,1.00,58.98,61.21,2,0.25,20
4560,110,3.07,0.60,8431.60,357.00,8788.60,76.65,3.25,79.90,61.86,2,0.45,110
4561,17,3.18,0.65,1447.80,38.00,1485.80,85.16,2.24,87.40,61.15,2,0.41,17
4562,16,3.25,0.63,1118.70,100.00,1218.70,69.92,6.25,76.17,58.80,2,0.50,16
4563,32,3.44,0.53,2478.70,50.00,2528.70,77.46,1.56,79.02,64.38,2,0.44,32
4564,37,3.14,0.76,1966.35,0.00,1966.35,53.14,0.00,53.14,58.86,2,0.24,37
4565,50,3.10,0.72,2450.00,128.00,2578.00,49.00,2.56,51.56,60.67,2,0.22,50
4566,23,2.87,0.70,1772.55,65.00,1837.55,77.07,2.83,79.89,69.82,2,0.35,23
4567,35,3.14,0.71,2200.30,231.00,2431.30,62.87,6.60,69.47,61.58,2,0.31,35
4568,10,3.50,0.40,603.60,20.00,623.60,60.36,2.00,62.36,61.75,2,0.20,10
4569,7,3.43,0.43,511.95,69.15,581.10,73.14,9.88,83.01,60.33,2,0.57,7
4570,98,3.18,0.56,6665.30,75.00,6740.30,68.01,0.77,68.78,60.62,2,0.32,98
4572,8,3.00,0.75,470.50,20.00,490.50,58.81,2.50,61.31,57.33,2,0.25,8
4573,64,2.98,0.70,4188.95,20.00,4208.95,65.45,0.31,65.76,58.66,2,0.30,64
4574,5,3.20,0.80,103.95,100.00,203.95,20.79,20.00,40.79,58.75,2,0.20,5
4575,69,3.06,0.68,4620.60,16.00,4636.60,66.97,0.23,67.20,60.67,2,0.35,69
4580,22,3.23,0.64,1397.15,95.00,1492.15,63.51,4.32,67.83,66.46,2,0.27,22
4581,5,2.80,1.00,244.45,0.00,244.45,48.89,0.00,48.89,64.50,2,0.00,5
4600,1,4.00,0.00,147.10,0.00,147.10,147.10,0.00,147.10,64.00,2,1.00,1
4601,4,3.25,0.25,164.00,0.00,164.00,41.00,0.00,41.00,72.67,2,0.00,4
4605,10,3.20,0.60,667.00,0.00,667.00,66.70,0.00,66.70,68.25,2,0.40,10
4606,12,3.33,0.67,545.50,0.00,545.50,45.46,0.00,45.46,74.57,2,0.17,12
4610,45,3.07,0.62,2634.20,115.00,2749.20,58.54,2.56,61.09,57.56,2,0.16,45
4613,1,3.00,0.00,67.00,0.00,67.00,67.00,0.00,67.00,63.00,2,0.00,1
4614,7,3.29,0.86,558.35,0.00,558.35,79.76,0.00,79.76,67.20,2,0.29,7
4615,13,3.00,0.69,636.90,40.00,676.90,48.99,3.08,52.07,71.33,2,0.15,13
4621,6,3.00,0.67,399.00,0.00,399.00,66.50,0.00,66.50,70.00,2,0.33,6
