,postcode,num_streets,age,Acq,weekends,profitable,cluster,avg income
256,2036,1,49.0,1.0,4,0,3,76822.97497
257,2037,9,64.0,1.0,4,1,3,94803.38176
258,2037,1,64.0,1.0,4,1,3,94803.38176
259,2037,9,56.0,0.0,4,1,3,94803.38176
260,2037,1,66.0,0.0,4,1,3,94803.38176
261,2037,1,75.0,0.0,4,0,3,94803.38176
262,2038,1,67.0,1.0,4,1,3,104890.2859
263,2038,1,61.0,0.0,4,1,3,104890.2859
264,2038,2,87.0,1.0,4,1,3,104890.2859
265,2038,1,72.0,0.0,4,0,3,104890.2859
266,2038,1,50.0,1.0,4,0,3,104890.2859
267,2038,1,41.0,1.0,4,0,3,104890.2859
268,2038,1,66.0,1.0,4,0,3,104890.2859
269,2039,9,53.0,1.0,4,1,3,114993.3892
270,2039,1,75.0,0.0,4,1,3,114993.3892
271,2039,9,75.0,1.0,4,1,3,114993.3892
272,2039,10,66.0,1.0,4,1,3,114993.3892
273,2039,2,60.0,0.0,4,0,3,114993.3892
274,2040,2,57.0,0.0,4,1,3,96842.71371
275,2040,1,54.0,1.0,4,1,3,96842.71371
276,2040,2,72.0,0.0,4,1,3,96842.71371
277,2040,1,43.0,1.0,4,1,3,96842.71371
278,2040,1,70.0,0.0,4,1,3,96842.71371
279,2040,1,55.0,0.0,4,1,3,96842.71371
280,2040,1,68.0,1.0,4,0,3,96842.71371
281,2040,9,57.0,1.0,4,0,3,96842.71371
282,2040,1,70.0,0.0,4,0,3,96842.71371
283,2041,1,61.0,1.0,4,1,1,148065.1286
284,2041,9,71.0,1.0,4,1,1,148065.1286
285,2041,1,68.0,1.0,4,1,1,148065.1286
286,2041,9,74.0,1.0,4,1,1,148065.1286
287,2041,1,54.0,0.0,4,1,1,148065.1286
288,2041,1,69.0,1.0,4,1,1,148065.1286
289,2041,9,64.0,1.0,4,1,1,148065.1286
290,2041,2,66.0,1.0,4,1,1,148065.1286
291,2041,1,70.0,0.0,4,1,1,148065.1286
292,2041,2,54.0,1.0,4,1,1,148065.1286
293,2041,1,64.0,1.0,4,1,1,148065.1286
294,2041,1,51.0,1.0,4,1,1,148065.1286
295,2041,1,76.0,0.0,4,0,1,148065.1286
296,2041,1,59.0,1.0,4,0,1,148065.1286
297,2041,1,77.0,1.0,4,0,1,148065.1286
298,2041,9,90.0,1.0,4,0,1,148065.1286
299,2041,2,46.0,1.0,4,0,1,148065.1286
