postcode,tax individuals,no pensions,avg pension,avg income,no donations,value donations,avg donation value
2390,3583,69,7784.826087,68945.67792,1170,331286,283.1504274
2395,140,1,3558,50293.75714,27,17727,656.5555556
2396,251,8,9004.625,63788,44,15536,353.0909091
2397,166,2,10029.5,72943.25301,45,15822,351.6
2398,91,1,3911,72667.40659,13,8011,616.2307692
2399,218,4,6785.75,60690.93119,74,17014,229.9189189
2400,4263,109,8995.486239,68608.90945,1390,463517,333.4654676
2401,95,2,8435.5,54554.77895,20,2574,128.7
2402,545,15,7831.733333,59063.34679,152,37582,247.25
2403,186,4,11429.25,51216.49462,34,7569,222.6176471
2404,481,18,11117.83333,54061.59667,146,32340,221.5068493
2405,212,4,7609.25,65437.79717,50,15727,314.54
2406,339,10,8801.4,67293.10619,94,23137,246.1382979
2408,157,0,0,71122.97452,40,5543,138.575
2409,182,6,7694.833333,89484.66484,76,10527,138.5131579
2410,51,2,4848,81224.27451,17,3445,202.6470588
2411,39,0,0,54789.92308,6,1125,187.5
2415,118,2,14677.5,56819.09322,44,11012,250.2727273
2420,1304,25,9903.44,64122.34202,538,183908,341.8364312
2421,753,13,6964.538462,72523.26428,319,115308,361.4670846
2422,1605,30,7746.166667,60924.8,529,278123,525.7523629
2423,918,26,9525.038462,56933.42702,305,98434,322.7344262
2424,102,5,6172.4,54346.29412,43,7201,167.4651163
2425,621,9,12074.22222,67609.07568,209,58071,277.8516746
2426,201,1,6311,54238.44279,74,18504,250.0540541
2427,696,21,7081.809524,63817.51293,271,340134,1255.107011
2428,6777,301,8036.053156,60729.31356,2385,1015026,425.5874214
2429,3025,97,6973.381443,54205.91273,1206,302392,250.7396352
2430,10236,360,8197.969444,58739.02862,3833,1124536,293.3827289
2431,1390,60,7625.183333,60668.82518,488,113529,232.6413934
2439,767,11,7818.090909,57059.24902,358,77837,217.4217877
2440,6293,232,7823.327586,55074.14206,1838,559184,304.2350381
2441,1604,36,8003.944444,59337.50187,577,168094,291.3240901
2443,2444,127,7833.80315,56853.02209,1061,317334,299.0895382
2444,16377,634,7384.733438,63941.97161,7536,2954234,392.016189
2445,2249,62,6947.919355,61216.3446,1039,328087,315.7718961
2446,4343,140,7596.385714,59336.96109,1786,566036,316.9294513
2447,2158,78,8770.769231,59130.36562,775,211526,272.9367742
2448,2417,109,8481.256881,57600.68556,899,289152,321.6373749
2449,555,20,8943.75,53042.92072,216,39967,185.0324074
2450,15850,445,7977.058427,62566.01874,5716,1842683,322.3728132
2452,5459,196,8229.632653,57044.11925,2401,612154,254.9579342
2453,826,18,8188.055556,53605.93947,208,117299,563.9375
2454,2556,61,7189.836066,60475.48044,913,378527,414.5969332
2455,1033,28,7347.5,57468.76089,391,254136,649.9641944
2456,5267,153,7855.215686,57812.13803,1772,460601,259.9328442
2460,9147,270,7496.72963,57067.80245,3940,1193879,303.0149746
2462,613,12,6282.666667,56362.09625,231,40576,175.6536797
2463,2199,61,7930.803279,57021.45111,842,203451,241.628266
2464,2124,91,7538.637363,58289.80273,783,221483,282.8646232
2465,102,2,10574.5,64134.33333,56,19860,354.6428571
2466,368,26,8636.961538,52714.40217,120,27384,228.2
2469,882,25,9462.56,53363.17347,258,83360,323.1007752
2470,4799,146,7980.10274,53805.47343,2242,547058,244.0044603
2471,683,15,6589.6,51880.58712,280,51716,184.7
2472,665,15,7019.4,55132.17594,260,65860,253.3076923
2473,886,36,8291.638889,60580.36569,388,102531,264.2551546
2474,1847,44,8061,56700.36004,658,177924,270.4012158
2475,98,1,417,50902.2551,24,6651,277.125
2476,176,1,19965,60520.84659,54,20958,388.1111111
2477,4446,140,7514.421429,61682.55915,1976,867873,439.2069838
2478,10927,359,7738.295265,64296.20674,4524,1846751,408.2119805
2479,1958,39,9046.358974,76815.38662,633,354439,559.9352291
2480,16160,403,7783.940447,59279.11739,6590,2568317,389.7294385
2481,5081,67,8732.134328,68542.89175,1472,798819,542.6759511
2482,2144,44,8429.227273,61027.76166,802,464776,579.521197
2483,3822,107,7828.317757,59357.13867,1456,705891,484.8152473
2484,6203,156,8268.532051,59324.92762,2606,929798,356.791251
2485,4555,205,8556.502439,61339.28869,1561,735456,471.1441384
2486,10953,432,8157.224537,60084.94084,4174,1454053,348.3596071
2487,4689,118,9049.245763,73328.30284,1719,736728,428.5794066
2488,1307,32,8451.125,60862.7192,512,130720,255.3125
2489,2447,62,6829.741935,65180.27217,944,255255,270.3972458
2490,263,8,10679.5,68070.02281,102,31340,307.254902
2500,14649,219,8334.200913,72897.77609,7281,3014965,414.0866639
2502,3365,79,8292.822785,59319.75007,1647,450840,273.7340619
2505,1705,28,8548.892857,65123.75601,870,286647,329.4793103
2506,2525,37,8805.918919,61894.39168,1387,326807,235.6214852
2508,4184,58,8021.224138,76580.32361,1932,792738,410.3198758
2515,5163,70,7868.1,94496.54281,2677,2036542,760.7553231
2516,2644,37,7642.054054,82760.28064,1453,736780,507.0750172
2517,5426,92,7386.271739,75532.61537,3086,954967,309.4513934
2518,7283,129,8583.51938,68694.92036,3969,1420454,357.8871252
2519,6448,120,8370.191667,74577.08282,3463,1307777,377.6427953
2525,4585,91,7684.626374,74865.50251,2571,922989,359
2526,6581,74,7678.486486,73090.23492,3749,1275406,340.1989864
2527,8666,162,7314.518519,65883.60812,4532,1318938,291.0278023
2528,7843,173,8030.572254,62865.2893,3973,909699,228.9702995
2529,10132,180,7328.95,70235.32698,5382,1458498,270.9955407
2530,11979,259,7679.722008,65598.41022,6632,1585057,239.0013571
2533,6565,146,7979.164384,78589.79284,3465,1924551,555.425974
2534,2246,56,9258.892857,74131.56857,1123,523369,466.0454141
2535,2705,85,7467.352941,69801.70573,1328,630940,475.1054217
2536,5737,311,6975.987138,58825.50636,2549,755251,296.2930561
2537,4101,191,6475.884817,59437.01146,1783,791606,443.9742008
2538,793,37,7143.756757,68588.77301,285,168784,592.2245614
2539,5517,210,8195.109524,57608.19938,2111,684779,324.386073
2540,14080,446,7847.394619,61961.3331,6656,1843533,276.973107
2541,8951,301,7994.737542,59615.01229,4757,1393046,292.8412865
2545,371,17,5314.705882,60097.9973,157,52035,331.433121
2546,2814,135,7426.096296,57344.75515,1007,463391,460.1698113
2548,2828,143,7214.923077,60389.2889,886,325309,367.1659142
2549,1490,49,7536.265306,58394.86107,410,578293,1410.470732
2550,5981,170,7773.9,61511.89366,1785,888480,497.7478992
2551,1229,37,7158.513514,59394.0358,286,67222,235.041958
2555,162,3,5385.333333,59141.69136,68,13612,200.1764706
2556,1017,14,8476.785714,73286.91544,383,115366,301.2167102
2557,2477,34,7378.176471,67642.02624,953,307436,322.5981112
2558,5013,89,7252.247191,59560.44983,2447,767294,313.5651819
2559,608,14,10248.64286,50427.0773,283,180883,639.1625442
2560,29667,666,7813.899399,61777.78245,14290,4827269,337.8074878
2563,127,3,6477.666667,68857.47244,57,20731,363.7017544
2564,4847,96,7934.958333,56689.46235,2211,914143,413.452284
2565,7823,162,8267.666667,66089.8475,3560,1387333,389.7002809
2566,10731,173,7491.780347,60057.80729,5272,1785080,338.5963581
2567,16882,256,7453.332031,70528.78107,8354,2422105,289.9335648
2568,504,8,8892.75,74124.15675,243,129690,533.7037037
2569,654,6,6411,71128.26758,332,104483,314.7078313
2570,15719,241,8181.157676,74152.38463,7412,2611938,352.3931462
