,avg tax income,avg income,avg gross tax paid,avg salary,Median_Tot_hhd_inc_weekly,postcode,Median_Tot_fam_inc_weekly,avg net tax paid,High_yr_schl_comp_Yr_11_eq_F,prediction,profitable
256,78440.7862,81700.86039,18295.39569,79203.63124,1644,2335,1781,18938.73714,140,1,1
257,75543.74589,78883.19287,17421.98719,77391.22036,1389,2336,1597,17954.39122,55,1,1
258,150579.7204,154415.1928,51541.38676,69305.03031,1150,2337,1517,36326.5932,233,1,1
259,59195.24968,62213.55086,11533.92096,55257.99784,1001,2340,1232,11853.59413,1356,1,1
260,58896.63279,62323.38684,11540.75,53508.48113,841,2343,1034,11757.35104,152,0,0
261,54966.30143,57903.73487,10112.0033,53169.76615,678,2346,801,10132.59406,63,0,0
262,62005.21779,64810.02983,12675.74663,56820.32505,1010,2350,1308,12954.8887,608,1,1
263,54856.4493,57637.80577,10188.17941,51303.625,730,2357,947,10309.69111,124,1,1
264,53807.49924,56379.48716,9702.943353,49543.51192,879,2358,1074,9900.641239,93,0,0
265,53628.67787,56370.01134,9680.304982,49908.34603,812,2360,985,9859.241749,376,0,0
266,52333.2802,55321.79663,9285.088366,50267.9317,742,2370,926,9301.888544,196,0,0
267,53801.24361,56931.19673,9787.52983,52902.21489,724,2372,914,9578.34446,135,0,0
268,67166.55996,70097.06485,14322.21693,64163.63956,950,2380,1238,14781.56716,267,1,1
269,63086.08531,66727.54265,13115.02133,52521.87021,839,2381,961,12759.36967,61,1,1
270,65319.35557,68945.67792,13755.74763,60695.46713,1024,2390,1280,14118.70639,248,1,1
271,65172.25147,68608.90945,13923.22426,54707.41049,1104,2400,1318,14315.68027,275,1,1
272,55913.21651,59063.34679,10414.87523,53699.79443,735,2402,948,10732.57248,50,1,1
273,60915.26764,64122.34202,12353.21089,57505.75616,865,2420,1130,12611.24923,100,1,1
274,58199.1053,60924.8,11301.50873,55982.90508,795,2422,972,11473.99065,135,1,1
275,54316.0,56933.42702,9916.035948,49812.43399,776,2423,921,9912.556645,87,0,0
276,57800.73144,60729.31356,11310.15582,50976.44163,705,2428,865,11405.16526,655,1,1
277,51705.4714,54205.91273,8977.355489,49889.9444,786,2429,957,8999.721322,256,0,0
278,56191.87925,58739.02862,10617.04533,51261.40913,780,2430,944,10742.95115,900,1,1
279,57511.06187,60668.82518,11027.08705,54444.513,711,2431,872,10993.27194,123,1,1
280,54333.8266,57059.24902,9893.674055,52305.11834,880,2439,968,9964.461538,63,0,0
281,52410.11505,55074.14206,9200.18007,50202.32249,763,2440,913,9284.39965,552,1,1
282,56488.22132,59337.50187,10747.33042,52668.74227,894,2441,1026,10878.59102,213,1,1
283,54239.27332,56853.02209,9924.787556,50083.27459,667,2443,823,9695.5982,258,1,1
284,60920.1579,63941.97161,12322.32686,56127.48767,857,2444,1067,12502.99322,1331,1,1
285,58436.50067,61216.3446,11222.88839,56127.91962,957,2445,1101,11348.1205,183,1,1
286,56463.51531,59336.96109,10767.44831,51872.60465,869,2446,1013,10963.83721,338,0,0
287,56458.14875,59130.36562,10993.51576,50804.10486,738,2447,887,10962.82206,200,0,0
288,54982.29375,57600.68556,10181.30658,52157.78913,676,2448,852,10175.0935,265,0,0
289,50366.88649,53042.92072,8618.918919,49978.74322,676,2449,767,8638.313514,58,0,0
290,59537.86801,62566.01874,11864.49584,54122.20745,920,2450,1137,12084.13565,1141,1,1
291,54400.26085,57044.11925,9872.3464,52380.52548,851,2452,1055,10041.27972,496,0,0
292,50812.77361,53605.93947,8871.806295,50045.24,700,2453,873,8839.766344,84,0,0
293,57672.32121,60475.48044,11245.36463,52575.65729,843,2454,975,11414.56534,243,0,0
294,54371.75895,57468.76089,9887.454985,51519.93318,730,2455,885,9951.31849,87,1,1
295,54942.10139,57812.13803,10161.88093,52334.1957,880,2456,1001,10195.49459,428,1,1
296,54414.74888,57067.80245,9901.775992,52437.61795,807,2460,972,10038.08637,791,0,0
297,54317.07231,57021.45111,10033.91678,52415.8855,790,2463,936,10068.8854,234,0,0
298,55075.72458,58289.80273,10280.49435,52513.45293,733,2464,867,10186.83804,238,1,1
299,49629.24728,52714.40217,8406.339674,42695.52612,577,2466,742,8086.434783,47,1,1
300,51549.80496,53805.47343,8866.949364,49696.64508,806,2470,972,9010.560325,381,0,0
301,49454.10688,51880.58712,8083.537335,48463.3748,875,2471,1039,8253.696925,86,0,0
302,57512.81941,60580.36569,10952.09142,54765.87863,696,2473,866,11043.03499,84,1,1
303,54101.52734,56700.36004,9909.925785,52377.06313,729,2474,909,10045.13156,200,1,1
304,58647.81781,61682.55915,11483.02542,53030.47962,956,2477,1166,11589.91183,332,1,1
305,60832.14423,64296.20674,12333.54407,54348.13937,913,2478,1146,12482.72664,848,1,1
306,73163.45506,76815.38662,17626.54471,56264.20522,1028,2479,1237,17933.10572,120,1,1
307,56504.74474,59279.11739,10800.97326,51723.83171,905,2480,1120,10981.19369,1283,1,1
308,64893.99114,68542.89175,14423.45166,51131.30309,950,2481,1157,14659.98111,323,1,1
309,58230.23321,61027.76166,11873.29804,48359.50804,773,2482,925,11930.04991,169,0,0
310,56135.01073,59357.13867,10773.92487,51447.1688,840,2483,993,10840.89063,337,1,1
311,56025.49331,59324.92762,10638.06886,53075.57607,834,2484,1001,10782.68676,565,0,0
312,58142.39385,61339.28869,11440.54206,53606.57362,732,2485,929,11537.46674,475,0,0
313,57036.7859,60084.94084,10841.86652,54818.02906,868,2486,1065,10986.95444,1060,0,0
314,69127.92216,73328.30284,15518.41544,61434.74797,896,2487,1174,15846.65131,360,1,1
315,57376.96098,60862.7192,10866.17841,57754.12906,966,2488,1126,11083.73221,93,1,1
