postcode,no of collectors,avg streets,new coll ratio,total collected,total donated,total received,avg collected,avg donated,avg received,avg coll age,no weekends,prof ratio,no prof coll,profitable
4854,25,3,0.84,1910.2,0,1910.2,76.41,0,76.41,62.35,2,0.48,25,1
4855,3,3.67,0,245,0,245,81.67,0,81.67,48.5,2,0.33,3,1
4856,2,2,0.5,35,5,40,17.5,2.5,20,55.5,2,0,2,0
4858,5,2.8,1,324.1,0,324.1,64.82,0,64.82,52.75,2,0.4,5,0
4859,3,3,0.67,155,0,155,51.67,0,51.67,48.5,2,0.33,3,0
4860,51,3.04,0.55,3587.9,0,3587.9,70.35,0,70.35,62.14,2,0.31,51,0
4861,7,3,0.86,411.6,20,431.6,58.8,2.86,61.66,56.43,2,0.29,7,0
4865,17,3.18,0.71,893.5,20,913.5,52.56,1.18,53.74,56.42,2,0.24,17,0
4868,64,3.11,0.59,4330.15,54,4384.15,67.66,0.84,68.5,54.55,2,0.28,64,0
4869,36,3.03,0.56,2113.8,57,2170.8,58.72,1.58,60.3,51.63,2,0.25,36,0
4870,175,3.09,0.68,12461.15,280,12741.15,71.21,1.6,72.81,55.52,2,0.37,175,0
4871,13,2.92,0.62,781.7,20,801.7,60.13,1.54,61.67,58.55,2,0.38,13,0
4872,1,3,0,101,0,101,101,0,101,,2,1,1,1
4873,15,3.27,0.47,1252.05,0,1252.05,83.47,0,83.47,57.55,2,0.33,15,1
4874,5,3,1,538.1,150,688.1,107.62,30,137.62,53.75,2,0.6,5,1
4877,11,3,0.73,845.25,10,855.25,76.84,0.91,77.75,56.57,2,0.45,11,1
4878,47,3.06,0.55,2997.2,80,3077.2,63.77,1.7,65.47,57.78,2,0.32,47,0
4879,37,2.92,0.7,2445,25,2470,66.08,0.68,66.76,56.55,2,0.32,37,0
4880,26,3.08,0.65,2292.8,55,2347.8,88.18,2.12,90.3,63.16,2,0.54,26,1
4881,7,2.86,0.86,438,0,438,62.57,0,62.57,54.25,2,0.43,7,0
4882,13,2.92,0.69,1032.7,100,1132.7,79.44,7.69,87.13,67.67,2,0.54,13,1
4883,28,3.04,0.64,2873.65,10,2883.65,102.63,0.36,102.99,62.5,2,0.46,28,1
4884,5,3.2,0.8,177,50,227,35.4,10,45.4,76.25,2,0,5,0
4885,5,3.2,1,279.25,20,299.25,55.85,4,59.85,61.67,2,0.4,5,0
4887,1,3,1,71,0,71,71,0,71,55,2,0,1,0
4888,7,3.43,0.86,557.9,10,567.9,79.7,1.43,81.13,59.2,2,0.43,7,1
4895,3,3,1,144.5,30,174.5,48.17,10,58.17,54,2,0.33,3,0
5000,17,6.82,0.41,2253.55,570,2823.55,132.56,33.53,166.09,66.2,4,0.47,17,1
5006,19,7.42,0.74,1301.05,419,1720.05,68.48,22.05,90.53,67.67,4,0.47,19,1
5007,15,7.13,0.8,839.5,0,839.5,55.97,0,55.97,61.64,4,0.27,15,0
5008,22,6.73,0.41,1219.85,80,1299.85,55.45,3.64,59.08,60,4,0.32,22,0
5009,15,6.4,0.4,795,20,815,53,1.33,54.33,55.29,4,0.2,15,0
5010,11,9.45,0.45,1055.85,14,1069.85,95.99,1.27,97.26,58.67,4,0.64,11,1
